iter	RMSE
0	49310.69821
1	47373.41711
2	45587.17495
3	43977.03673
4	42636.90039
5	41312.32921
6	39965.63121
7	38765.30693
8	37638.3794
9	36880.34365
10	35979.95454
11	35105.70929
12	34310.3295
13	33772.77474
14	33116.20373
15	32828.48062
16	32563.25408
17	31870.76205
18	31035.84493
19	30670.95538
20	30102.72767
21	29871.41612
22	29462.04178
23	29018.05696
24	28830.78371
25	28656.15585
26	28470.70823
27	27883.38415
28	27193.58363
29	27078.32251
30	26616.99292
31	26515.75464
32	26302.9777
33	26159.43513
34	25928.34006
35	25567.58367
36	25462.91897
37	25331.26446
38	25035.32483
39	24558.07428
40	24459.3192
41	24363.29103
42	24284.79779
43	24197.96799
44	23805.71278
45	23539.00559
46	23263.21622
47	23159.65898
48	23077.65093
49	22790.61219
50	22638.50985
51	22576.77938
52	22370.63115
53	22136.8345
54	22051.84044
55	21745.73319
56	21678.02409
57	21532.46219
58	21470.49515
59	21293.45338
60	21172.6386
61	21105.36317
62	21035.42198
63	20974.93441
64	20821.55175
65	20757.03534
66	20685.57328
67	20625.53181
68	20566.38965
69	20501.06289
70	20344.8192
71	20270.65658
72	20129.28079
73	20049.55611
74	20001.66326
75	19738.11662
76	19685.95167
77	19623.30406
78	19569.76931
79	19511.64261
80	19450.88643
81	19404.75764
82	19185.52392
83	19096.8586
84	19045.77722
85	19002.0437
86	18841.10385
87	18782.48467
88	18659.0855
89	18559.4553
90	18515.92064
91	18385.13358
92	18241.4493
93	18200.27242
94	18160.41178
95	18104.84138
96	17999.26301
97	17938.12487
98	17878.4928
99	17816.07717
100	17777.69165
101	17741.02492
102	17695.01749
103	17602.85374
104	17569.00998
105	17517.97479
106	17424.53865
107	17391.24635
108	17317.34383
109	17285.16186
110	17158.26205
111	17112.72047
112	16993.08099
113	16961.96457
114	16932.12689
115	16889.69285
116	16799.13632
117	16675.38089
118	16646.35488
119	16605.81864
120	16515.7366
121	16487.78935
122	16390.98786
123	16364.16741
124	16247.7014
125	16207.7313
126	16151.27395
127	16125.11785
128	16078.55269
129	15970.88445
130	15945.11513
131	15920.33064
132	15883.92243
133	15859.86806
134	15796.82081
135	15773.13088
136	15750.07576
137	15687.48587
138	15651.30666
139	15562.42205
140	15539.53594
141	15517.54308
142	15485.17181
143	15436.20726
144	15389.53688
145	15334.95815
146	15313.41014
147	15292.48389
148	15207.84409
149	15187.56091
150	15157.8758
151	15106.16209
152	15086.52196
153	15048.58075
154	14934.01942
155	14915.20803
156	14885.04311
157	14791.12093
158	14754.32924
159	14735.8279
160	14680.61369
161	14662.64987
162	14645.03085
163	14618.98174
164	14601.71112
165	14584.70956
166	14567.95342
167	14533.37577
168	14441.72545
169	14425.07162
170	14346.52516
171	14329.98583
172	14313.79677
173	14289.47336
174	14273.65052
175	14238.84394
176	14213.69834
177	14197.99391
178	14182.65083
179	14167.54429
180	14152.59733
181	14120.44481
182	14105.77434
183	14023.0038
184	13943.27824
185	13928.3019
186	13913.64817
187	13899.24249
188	13877.22605
189	13863.13361
190	13802.12844
191	13788.1539
192	13774.41606
193	13697.6006
194	13637.31392
195	13623.78099
196	13606.31431
197	13593.01483
198	13560.2183
199	13547.17411
200	13534.27565
201	13472.24368
202	13365.51961
203	13352.71461
204	13333.39858
205	13302.39333
206	13201.8715
207	13189.26147
208	13176.92904
209	13109.1095
210	13090.14831
211	13078.02339
212	12982.56963
213	12970.62533
214	12907.81288
215	12896.07179
216	12884.49408
217	12844.94392
218	12833.55071
219	12822.31644
220	12806.09528
221	12795.00268
222	12784.07141
223	12771.81441
224	12745.51619
225	12711.31341
226	12695.01042
227	12684.13552
228	12642.65433
229	12631.91254
230	12618.86967
231	12562.48999
232	12544.09699
233	12533.43447
234	12523.01298
235	12512.75228
236	12502.79648
237	12492.67048
238	12482.62395
239	12442.15126
240	12418.24716
241	12406.73919
242	12347.95273
243	12312.31942
244	12302.33843
245	12287.17928
246	12277.35635
247	12261.3429
248	12251.67122
249	12242.21482
250	12232.13409
251	12222.32314
252	12212.74782
253	12203.43961
254	12189.17022
255	12180.04958
256	12161.3257
257	12102.14298
258	12093.11719
259	12041.64279
260	12015.56195
261	11968.25571
262	11959.25613
263	11945.44572
264	11936.61941
265	11882.01629
266	11873.20196
267	11864.7611
268	11846.7469
269	11816.73203
270	11803.50064
271	11791.07581
272	11782.50839
273	11774.06068
274	11743.48974
275	11722.86539
276	11707.07005
277	11660.55963
278	11652.09392
279	11612.88892
280	11592.40659
281	11554.26476
282	11546.01406
283	11517.12919
284	11508.98756
285	11501.03953
286	11493.13116
287	11484.9048
288	11477.63991
289	11450.34128
290	11442.70341
291	11390.5354
292	11378.65498
293	11371.05608
294	11363.52355
295	11324.89889
296	11301.66389
297	11290.31627
298	11282.92341
299	11259.87262
