iter	Passed	Remaining
0	142	42677
1	148	22132
2	154	15249
3	159	11771
4	163	9671
5	168	8274
6	174	7317
7	180	6575
8	185	5982
9	189	5498
10	194	5111
11	200	4802
12	205	4532
13	209	4288
14	214	4079
15	219	3894
16	224	3734
17	229	3588
18	233	3459
19	238	3340
20	243	3230
21	247	3130
22	253	3047
23	258	2969
24	262	2890
25	267	2816
26	272	2754
27	277	2698
28	283	2644
29	287	2589
30	292	2537
31	296	2487
32	302	2445
33	307	2406
34	312	2366
35	317	2325
36	321	2285
37	326	2250
38	345	2314
39	350	2278
40	355	2246
41	361	2218
42	366	2191
43	371	2160
44	376	2131
45	381	2104
46	386	2080
47	392	2062
48	397	2036
49	403	2019
50	409	1997
51	414	1975
52	419	1953
53	423	1930
54	428	1910
55	434	1891
56	439	1873
57	444	1853
58	448	1833
59	453	1815
60	460	1805
61	467	1794
62	472	1777
63	477	1760
64	482	1744
65	487	1728
66	494	1720
67	499	1705
68	505	1691
69	510	1677
70	516	1664
71	521	1652
72	526	1637
73	531	1621
74	535	1607
75	541	1594
76	546	1583
77	551	1570
78	556	1555
79	560	1542
80	566	1530
81	571	1519
82	576	1507
83	581	1494
84	587	1485
85	592	1473
86	597	1463
87	602	1451
88	606	1438
89	612	1428
90	616	1416
91	621	1406
92	626	1395
93	631	1384
94	636	1373
95	641	1363
96	646	1352
97	651	1341
98	655	1330
99	660	1320
100	665	1310
101	670	1301
102	676	1293
103	681	1283
104	686	1274
105	691	1264
106	696	1255
107	701	1247
108	706	1238
109	711	1228
110	715	1218
111	720	1209
112	726	1202
113	731	1193
114	736	1184
115	740	1175
116	745	1166
117	750	1158
118	756	1150
119	760	1141
120	765	1132
121	771	1125
122	776	1117
123	782	1110
124	787	1102
125	791	1093
126	802	1093
127	807	1085
128	812	1076
129	816	1068
130	821	1060
131	826	1052
132	831	1044
133	836	1036
134	841	1028
135	846	1020
136	851	1013
137	856	1005
138	861	997
139	866	990
140	870	982
141	876	975
142	881	967
143	885	959
144	890	951
145	894	943
146	899	936
147	904	929
148	911	924
149	916	916
150	921	909
151	926	902
152	931	895
153	937	888
154	942	881
155	947	874
156	953	868
157	958	861
158	963	854
159	968	847
160	972	839
161	977	832
162	986	828
163	991	822
164	996	815
165	1001	808
166	1007	802
167	1013	796
168	1020	790
169	1026	784
170	1035	781
171	1042	775
172	1047	768
173	1052	762
174	1057	755
175	1063	749
176	1071	744
177	1076	737
178	1082	731
179	1087	725
180	1094	719
181	1099	712
182	1104	705
183	1109	699
184	1116	693
185	1121	687
186	1126	680
187	1131	674
188	1136	667
189	1141	661
190	1146	654
191	1151	647
192	1156	640
193	1161	634
194	1166	628
195	1171	621
196	1176	615
197	1181	608
198	1186	602
199	1192	596
200	1197	589
201	1202	583
202	1207	576
203	1212	570
204	1217	564
205	1222	557
206	1228	552
207	1233	545
208	1238	539
209	1244	533
210	1249	526
211	1254	520
212	1258	514
213	1263	507
214	1268	501
215	1274	495
216	1279	489
217	1283	482
218	1288	476
219	1293	470
220	1298	464
221	1303	457
222	1308	451
223	1313	445
224	1319	439
225	1335	437
226	1340	430
227	1344	424
228	1350	418
229	1356	412
230	1361	406
231	1365	400
232	1370	394
233	1376	388
234	1381	381
235	1396	378
236	1401	372
237	1406	366
238	1423	363
239	1429	357
240	1434	351
241	1438	344
242	1443	338
243	1448	332
244	1453	326
245	1458	320
246	1463	313
247	1467	307
248	1472	301
249	1477	295
250	1482	289
251	1487	283
252	1492	277
253	1497	271
254	1502	265
255	1507	259
256	1513	253
257	1518	247
258	1523	241
259	1528	235
260	1534	229
261	1539	223
262	1544	217
263	1549	211
264	1554	205
265	1559	199
266	1565	193
267	1570	187
268	1574	181
269	1581	175
270	1586	169
271	1591	163
272	1595	157
273	1600	151
274	1605	145
275	1611	140
276	1616	134
277	1621	128
278	1625	122
279	1631	116
280	1635	110
281	1641	104
282	1646	98
283	1651	93
284	1656	87
285	1661	81
286	1666	75
287	1671	69
288	1675	63
289	1680	57
290	1686	52
291	1691	46
292	1696	40
293	1701	34
294	1705	28
295	1712	23
296	1718	17
297	1723	11
298	1728	5
299	1733	0
